step,timestamp,simulation_time,pos_x,pos_y,speed,heading,velocity_x,velocity_y,on_lane,out_of_road,dist_to_left_side,dist_to_right_side,crash_vehicle,crash_object,crash_sidewalk,nav_route_completion,nav_distance_to_dest,nav_current_lane,nav_route_length,nav_checkpoints_count,lane_longitudinal_pos,lane_lateral_pos,lane_length,custom_dest_x,custom_dest_y,distance_to_custom_dest,action_steering,action_throttle,action_source,action_success,reward,control_mode,expert_takeover,obs_shape,obs_mean,obs_std,obs_min,obs_max,obs_0,obs_1,obs_2,obs_3,obs_4
10,2025-08-12T23:05:40.440908,0.0,6.748210906982422,7.152530670166016,3.3615259013053334,-0.03926005447383929,3.355720281600952,-0.1974785476922989,True,,1.9040326689699267,8.963843337993204,False,False,False,0.012053905864564358,,"('>', '>>', 0)",0,14,6.748210906982422,0.09272000114273826,10.0,,,,0.0,0.0,expert,True,0.3262359325653955,unknown,True,[259],0.9584819674491882,0.1640506088733673,0.0,1.0,0.10577959567308426,0.49799129366874695,0.5196250081062317,0.1617468297481537,0.499592125415802
11,2025-08-12T23:05:40.524924,0.0,7.089903831481934,7.132416248321533,3.6680271736913483,-0.04393004060334782,3.6612815856933594,-0.22235219180583954,True,,1.9241470908144092,8.943728916148721,False,False,False,0.012664250503058559,,"('>', '>>', 0)",0,14,7.089903831481934,0.11283442298722068,10.0,,,,0.0,0.0,expert,True,0.3581990467811228,unknown,True,[259],0.9585405588150024,0.1637779027223587,0.0,1.0,0.10689706355333328,0.4968738257884979,0.5219579339027405,0.17536911368370056,0.49964427947998047
12,2025-08-12T23:05:40.605763,0.0,7.46214485168457,7.1103291511535645,3.972941022285968,-0.047987233366028725,3.966158390045166,-0.23205170035362244,True,,1.946234187982378,8.921641818980753,False,False,False,0.013329161288791306,,"('>', '>>', 0)",0,14,7.46214485168457,0.13492152015518943,10.0,,,,0.0,0.0,expert,True,0.3901192548029236,unknown,True,[259],0.9586006999015808,0.16349107027053833,0.0,1.0,0.10812412202358246,0.49564677476882935,0.523984432220459,0.18892084062099457,0.49979549646377563
13,2025-08-12T23:05:40.694286,0.0,7.864874362945557,7.086571216583252,4.2793664011488834,-0.05115346558602418,4.2714619636535645,-0.259979784488678,True,,1.9699921225526904,8.89788388441044,False,False,False,0.014048531753724315,,"('>', '>>', 0)",0,14,7.864874362945557,0.15867945472550193,10.0,,,,0.0,0.0,expert,True,0.4219866600661563,unknown,True,[259],0.9586290121078491,0.16339349746704102,0.0,1.0,0.10944400727748871,0.4943268895149231,0.5255655646324158,0.20253974199295044,0.4997868835926056
14,2025-08-12T23:05:40.775934,0.0,8.29814624786377,7.0603203773498535,4.585842528533062,-0.05405018590370325,4.577235221862793,-0.2808369994163513,True,,1.9962429617860888,8.871633045177042,False,False,False,0.014822458144964194,,"('>', '>>', 0)",0,14,8.29814624786377,0.18493029395890037,10.0,,,,0.0,0.0,expert,True,0.4539081762966117,unknown,True,[259],0.9586578011512756,0.16310931742191315,0.0,1.0,0.11090238392353058,0.4928685128688812,0.5270119309425354,0.21616090834140778,0.4998488128185272
15,2025-08-12T23:05:40.858885,0.0,8.761451721191406,7.0327277183532715,4.867938937794677,-0.055970857681868935,4.860048294067383,-0.27705609798431396,True,,2.0238356207826707,8.84404038618046,False,False,False,0.015650031651336126,,"('>', '>>', 0)",0,14,8.761451721191406,0.2125229529554824,10.0,,,,0.0,0.0,expert,True,0.4852111985477128,unknown,True,[259],0.9584763646125793,0.16292881965637207,0.0,1.0,0.11243531107902527,0.49133557081222534,0.5279707908630371,0.2286985218524933,0.5000017881393433
16,2025-08-12T23:05:40.942379,0.0,9.253549575805664,7.005314826965332,5.167841788564793,-0.056160741067590614,5.160582065582275,-0.2738274931907654,True,,2.05124851217061,8.81662749479252,False,False,False,0.016529035182410824,,"('>', '>>', 0)",0,14,9.253549575805664,0.23993584434342186,10.0,,,,0.0,0.0,expert,True,0.5153531426627994,unknown,True,[259],0.9585017561912537,0.16302110254764557,0.0,1.0,0.11395824700593948,0.4898126423358917,0.5280656218528748,0.24202753603458405,0.5000800490379333
17,2025-08-12T23:05:41.035166,0.0,9.775496482849121,6.977316856384277,5.464236944063904,-0.055469118132497996,5.456226348876953,-0.29576918482780457,True,,2.079246482751665,8.788629524211466,False,False,False,0.01746135620357104,,"('>', '>>', 0)",0,14,9.775496482849121,0.26793381492447654,10.0,,,,0.0,0.0,expert,True,0.5465359732917446,unknown,True,[259],0.9584324359893799,0.16271467506885529,0.0,1.0,0.11551368981599808,0.48825719952583313,0.5277203321456909,0.25520065426826477,0.5000149011611938
18,2025-08-12T23:05:41.107788,0.0,10.324589729309082,6.948257923126221,5.6570028453345325,-0.05465272610033356,5.649837017059326,-0.2846451699733734,True,,2.1083054160097214,8.759570590953409,False,False,False,0.018442167028088687,,"('>>', '>>>', 0)",0,14,0.32458972930908203,0.2969927481825332,40.0,,,,0.0,0.0,expert,True,0.5745497592639663,unknown,True,[259],0.9598246216773987,0.1597069948911667,0.0,1.0,0.11712808161973953,0.4866428077220917,0.5273127555847168,0.2637680172920227,0.5001068115234375
19,2025-08-12T23:05:41.196274,0.0,10.896195411682129,6.920958995819092,5.962720114279771,-0.05223990215272156,5.957520008087158,-0.2489709109067917,True,,2.1356043433168503,8.73227166364628,False,False,False,0.019463190404795182,,"('>>', '>>>', 0)",0,14,0.8961954116821289,0.3242916754896621,40.0,,,,0.0,0.0,expert,True,0.5984379228873058,unknown,True,[259],0.9605384469032288,0.15874885022640228,0.0,1.0,0.11864468455314636,0.48512619733810425,0.5261080861091614,0.27735546231269836,0.5002569556236267
20,2025-08-12T23:05:41.274670,0.0,11.49807071685791,6.895719051361084,6.269197928506818,-0.04827139265434077,6.264160633087158,-0.2512652575969696,True,,2.160844287774858,8.707031719188272,False,False,False,0.020538282510065346,,"('>>', '>>>', 0)",0,14,1.4980707168579102,0.3495316199476699,40.0,,,,0.0,0.0,expert,True,0.630086695854062,unknown,True,[259],0.9604597687721252,0.1582486629486084,0.0,1.0,0.12004690617322922,0.4837239980697632,0.5241263508796692,0.29097670316696167,0.5001648664474487
21,2025-08-12T23:05:41.359853,0.0,12.13064956665039,6.872391700744629,6.574528009662255,-0.04368742662804159,6.571739673614502,-0.19145812094211578,True,,2.1841716383913132,8.683704368571817,False,False,False,0.021668218431217908,,"('>>', '>>>', 0)",0,14,2.1306495666503906,0.372858970564125,40.0,,,,0.0,0.0,expert,True,0.6621642258359606,unknown,True,[259],0.9604325294494629,0.15777303278446198,0.0,1.0,0.12134286761283875,0.48242801427841187,0.5218367576599121,0.30454692244529724,0.500345766544342
22,2025-08-12T23:05:41.443105,0.0,12.793968200683594,6.853968620300293,6.880652844575736,-0.03696321119170065,6.878973484039307,-0.15201109647750854,True,,2.202594718835649,8.665281288127481,False,False,False,0.022853062900820148,,"('>>', '>>>', 0)",0,14,2.7939682006835938,0.3912820510084609,40.0,,,,0.0,0.0,expert,True,0.6942815718337939,unknown,True,[259],0.9602593183517456,0.1572117656469345,0.0,1.0,0.12236637622117996,0.48140451312065125,0.5184773802757263,0.31815245747566223,0.5003294944763184
23,2025-08-12T23:05:41.525391,0.0,13.488005638122559,6.839073657989502,7.187125133361976,-0.029887591649523593,7.186047077178955,-0.1244792640209198,True,,2.21748968114644,8.65038632581669,False,False,False,0.02409277844212259,,"('>>', '>>>', 0)",0,14,3.4880056381225586,0.40617701331925193,40.0,,,,0.0,0.0,expert,True,0.7263795005390937,unknown,True,[259],0.959970235824585,0.15708743035793304,0.0,1.0,0.12319386750459671,0.4805770218372345,0.5149415731430054,0.33177345991134644,0.500272274017334
24,2025-08-12T23:05:41.609830,0.0,14.212749481201172,6.827359199523926,7.493450023513993,-0.02320718521311349,7.49296760559082,-0.08502773940563202,True,,2.2292041396120164,8.638671867351114,False,False,False,0.02538734290977327,,"('>>', '>>>', 0)",0,14,4.212749481201172,0.4178914717848281,40.0,,,,0.0,0.0,expert,True,0.7584643681844263,unknown,True,[259],0.9599123001098633,0.15708741545677185,0.0,1.0,0.123844675719738,0.4799262285232544,0.5116025805473328,0.34538790583610535,0.5002656579017639
25,2025-08-12T23:05:41.695630,0.0,14.968181610107422,6.819685935974121,7.799744051956042,-0.016583104633760115,7.7996392250061035,-0.04043804854154587,True,,2.236877403161821,8.63099860380131,False,False,False,0.026736723937488546,,"('>>', '>>>', 0)",0,14,4.968181610107422,0.4255647353346328,40.0,,,,0.0,0.0,expert,True,0.7905309771400522,unknown,True,[259],0.9595555067062378,0.15708445012569427,0.0,1.0,0.1242709681391716,0.4794999361038208,0.5082911849021912,0.3590009808540344,0.5002570152282715
26,2025-08-12T23:05:41.776307,0.0,15.752077102661133,6.8170599937438965,8.014455354006943,-0.009679658456056117,8.014419555664062,0.023954272270202637,True,,2.2395033453920457,8.628372661571085,False,False,False,0.028136947286335246,,"('>>', '>>>', 0)",0,14,5.752077102661133,0.4281906775648574,40.0,,,,0.0,0.0,expert,True,0.8199605416467421,unknown,True,[259],0.9586915969848633,0.15722669661045074,0.0,1.0,0.12441685050725937,0.47935402393341064,0.5048397779464722,0.36854368448257446,0.5002921223640442
27,2025-08-12T23:05:41.856791,0.0,16.55964469909668,6.820709228515625,8.305705057871487,-0.002122672546847504,8.305235862731934,0.08828234672546387,True,,2.235854110620317,8.632021896342813,False,False,False,0.029579454629523702,,"('>>', '>>>', 0)",0,14,6.55964469909668,0.4245414427931289,40.0,,,,0.0,0.0,expert,True,0.8449432691959685,unknown,True,[259],0.9587100148200989,0.15706780552864075,0.0,1.0,0.12421412020921707,0.47955676913261414,0.5010613203048706,0.3814881145954132,0.5002891421318054
28,2025-08-12T23:05:41.942776,0.0,17.3941707611084,6.83051061630249,8.521478199632188,0.005552957188924346,8.52023983001709,0.14527197182178497,True,,2.226052722833452,8.641823284129678,False,False,False,0.03107011618881291,,"('>>', '>>>', 0)",0,14,7.394170761108398,0.41474005500626365,40.0,,,,0.0,0.0,expert,True,0.8728727139100636,unknown,True,[259],0.9581425786018372,0.15731395781040192,0.0,1.0,0.1236695945262909,0.4801012873649597,0.49722352623939514,0.39107805490493774,0.5002567768096924
29,2025-08-12T23:05:42.028577,0.0,18.251140594482422,6.846290111541748,8.764394705771052,0.012920459186574362,8.761874198913574,0.2101786881685257,True,,2.210273227594194,8.657602779368936,False,False,False,0.03260086764911086,,"('>>', '>>>', 0)",0,14,8.251140594482422,0.39896055976700584,40.0,,,,0.0,0.0,expert,True,0.8964096095499932,unknown,True,[259],0.9583495855331421,0.15746699273586273,0.0,1.0,0.12279295921325684,0.4809779226779938,0.493539959192276,0.4018743336200714,0.5002513527870178
30,2025-08-12T23:05:42.109887,0.0,19.131433486938477,6.86809778213501,8.976637743600604,0.019933361285080053,8.97282600402832,0.26156964898109436,True,,2.1884655570009324,8.679410449962198,False,False,False,0.03417327962691836,,"('>>', '>>>', 0)",0,14,9.131433486938477,0.3771528891737441,40.0,,,,0.0,0.0,expert,True,0.9206877623022574,unknown,True,[259],0.9569228887557983,0.1580335944890976,0.0,1.0,0.12158142030239105,0.48218947649002075,0.49003398418426514,0.41130736470222473,0.5002051591873169
31,2025-08-12T23:05:42.193106,0.0,20.034046173095703,6.893937110900879,9.233681722826681,0.025413614176244437,9.229580879211426,0.2751635015010834,True,,2.1626262282350632,8.705249778728067,False,False,False,0.035785560052214956,,"('>>', '>>>', 0)",0,14,10.034046173095703,0.351313560407875,40.0,,,,0.0,0.0,expert,True,0.9441642539099466,unknown,True,[259],0.9575091004371643,0.15839919447898865,0.0,1.0,0.12014590203762054,0.48362499475479126,0.4872945547103882,0.42273151874542236,0.5000841617584229
32,2025-08-12T23:05:42.276230,0.0,20.959970474243164,6.921817779541016,9.400452319884769,0.028659874386996798,9.39572811126709,0.2979883849620819,True,,2.1347455595949265,8.733130447368204,False,False,False,0.03743948055315776,,"('>>', '>>>', 0)",0,14,10.959970474243164,0.32343289176773826,40.0,,,,0.0,0.0,expert,True,0.9682263365869423,unknown,True,[259],0.9563699960708618,0.15965424478054047,0.0,1.0,0.11859697848558426,0.48517391085624695,0.4856720268726349,0.4301435649394989,0.5000693202018738
33,2025-08-12T23:05:42.359811,0.0,21.902915954589844,6.952081203460693,9.569414962170034,0.03105245831032377,9.563965797424316,0.3228946328163147,True,,2.1044821356752488,8.763393871287882,False,False,False,0.0391238049188581,,"('>>', '>>>', 0)",0,14,11.902915954589844,0.2931694678480605,40.0,,,,0.0,0.0,expert,True,0.9860078476764449,unknown,True,[259],0.9552953839302063,0.16040828824043274,0.0,1.0,0.11691567301750183,0.4868552088737488,0.4844762682914734,0.4376530051231384,0.5000637769699097
34,2025-08-12T23:05:42.441668,0.0,22.861618041992188,6.984475612640381,9.693714260052554,0.032946232161479294,9.687907218933105,0.3354845345020294,True,,2.0720877264955613,8.795788280467569,False,False,False,0.04083627432341569,,"('>>', '>>>', 0)",0,14,12.861618041992188,0.260775058668373,40.0,,,,0.0,0.0,expert,True,1.0023238015725802,unknown,True,[259],0.9548163414001465,0.16115331649780273,0.0,1.0,0.11511598527431488,0.4886549115180969,0.48352986574172974,0.4431774318218231,0.5000356435775757
35,2025-08-12T23:05:42.523503,0.0,23.833425521850586,7.017396450042725,9.839199207858863,0.033741585221031656,9.83395004272461,0.3213527798652649,True,,2.0391668890932175,8.828709117869913,False,False,False,0.04257215306848751,,"('>>', '>>>', 0)",0,14,13.833425521850586,0.22785422126602928,40.0,,,,0.0,0.0,expert,True,1.0160838762937634,unknown,True,[259],0.954741895198822,0.16147203743457794,0.0,1.0,0.1132870465517044,0.4904838502407074,0.48313242197036743,0.44964343309402466,0.4999665915966034
36,2025-08-12T23:05:42.610287,0.0,24.820507049560547,7.048107147216797,10.015321614642785,0.032395090973887264,10.011569023132324,0.27414000034332275,True,,2.0084561919191453,8.859419815043985,False,False,False,0.04433531488717861,,"('>>', '>>>', 0)",0,14,14.820507049560547,0.197143524091957,40.0,,,,0.0,0.0,expert,True,1.0321504749758534,unknown,True,[259],0.9544264078140259,0.16163533926010132,0.0,1.0,0.11158090084791183,0.49219000339508057,0.4838052988052368,0.4574710726737976,0.49987277388572693
37,2025-08-12T23:05:42.689459,0.0,25.82295799255371,7.074429512023926,10.09749590081302,0.0287466934385332,10.09497356414795,0.22568164765834808,True,,1.9821338271120166,8.885742179851114,False,False,False,0.04612593012835024,,"('>>', '>>>', 0)",0,14,15.822957992553711,0.1708211592848281,40.0,,,,0.0,0.0,expert,True,1.0478896745468227,unknown,True,[259],0.9536066651344299,0.1623939722776413,0.0,1.0,0.11011854559183121,0.49365234375,0.4856286346912384,0.4611232876777649,0.49984997510910034
38,2025-08-12T23:05:42.776541,0.0,26.81620979309082,7.095974445343018,9.433558822647074,0.02428350176766969,9.431952476501465,0.17408199608325958,True,,1.9605888937929248,8.907287113170206,False,False,False,0.04790011351836482,,"('>>', '>>>', 0)",0,14,16.81620979309082,0.1492762259657363,40.0,,,,0.0,0.0,expert,True,1.0357028152390213,unknown,True,[259],0.9510782957077026,0.16621927917003632,0.0,1.0,0.1089216023683548,0.494849294424057,0.48785942792892456,0.4316149652004242,0.4998686611652374
39,2025-08-12T23:05:42.860288,0.0,27.76296043395996,7.113104343414307,9.470768958158592,0.020323514384775976,9.469590187072754,0.14942003786563873,True,,1.9434589957216357,8.924417011241495,False,False,False,0.0495912348036294,,"('>>', '>>>', 0)",0,14,17.76296043395996,0.13214632789444725,40.0,,,,0.0,0.0,expert,True,0.9893691011808543,unknown,True,[259],0.9513764977455139,0.1649051159620285,0.0,1.0,0.10796994715929031,0.4958009421825409,0.48983892798423767,0.4332687556743622,0.49990010261535645
40,2025-08-12T23:05:42.943046,0.0,28.710453033447266,7.126972675323486,9.498547287041566,0.016687900022654745,9.497971534729004,0.10458149760961533,True,,1.929590663812456,8.938285343150675,False,False,False,0.05128368140303458,,"('>>', '>>>', 0)",0,14,18.710453033447266,0.11827799598526756,40.0,,,,0.0,0.0,expert,True,0.9902360622789917,unknown,True,[259],0.9509791135787964,0.1655847728252411,0.0,1.0,0.10719948261976242,0.49657142162323,0.49165642261505127,0.43450334668159485,0.49986502528190613
41,2025-08-12T23:05:43.037458,0.0,29.66169548034668,7.13572883605957,9.56302040183345,0.012078633965999508,9.562952995300293,0.03590564802289009,True,,1.920834503076372,8.947041503886759,False,False,False,0.05298282611966447,,"('>>', '>>>', 0)",0,14,19.66169548034668,0.10952183524918357,40.0,,,,0.0,0.0,expert,True,0.9942760387076646,unknown,True,[259],0.9509180784225464,0.16532953083515167,0.0,1.0,0.10671302676200867,0.49705785512924194,0.49396082758903503,0.43736881017684937,0.4998001456260681
42,2025-08-12T23:05:43.110108,0.0,30.620216369628906,7.1377363204956055,9.666458030658394,0.0059706740059031205,9.666388511657715,-0.036660607904195786,True,,1.918827018640337,8.949048988322794,False,False,False,0.054694971861385666,,"('>>', '>>>', 0)",0,14,20.620216369628906,0.10751435081314842,40.0,,,,0.0,0.0,expert,True,1.0020199504201894,unknown,True,[259],0.9502129554748535,0.16516420245170593,0.0,1.0,0.10660149902105331,0.4971693754196167,0.4970146715641022,0.4419660270214081,0.49977272748947144
