step,timestamp,simulation_time,pos_x,pos_y,speed,heading,velocity_x,velocity_y,on_lane,out_of_road,dist_to_left_side,dist_to_right_side,crash_vehicle,crash_object,crash_sidewalk,nav_route_completion,nav_distance_to_dest,nav_current_lane,nav_route_length,nav_checkpoints_count,lane_longitudinal_pos,lane_lateral_pos,lane_length,custom_dest_x,custom_dest_y,distance_to_custom_dest,action_steering,action_throttle,action_source,action_success,reward,control_mode,expert_takeover,obs_shape,obs_mean,obs_std,obs_min,obs_max,obs_0_speed_related,obs_1_steering_related,obs_2,obs_3,obs_4
12,2025-08-12T22:39:22.464658,1.3,226.4772186279297,6.943659782409668,13.357155695104831,-0.07831078448599804,13.333587646484375,-0.7931259274482727,True,,1.806340217590332,8.693659782409668,False,False,False,0.42932293364302426,,"('2S0_0_', '3S0_0_', 0)",0,11,30.015823364257812,0.05634021759033203,75.58282470703125,637.2861328125,-0.2431640625,410.87177368430093,0.03628993406891823,-2.645098924636841,expert,True,1.4798764877373467,unknown,True,[259],0.9508664608001709,0.18561652302742004,0.0,1.0,0.10035223513841629,0.4829810857772827,0.5391153693199158,0.6059970259666443,0.5001981854438782
13,2025-08-12T22:39:22.466308,1.4000000000000001,227.78900146484375,6.869708061218262,12.260598290837272,-0.0793040104145426,12.2444486618042,-0.629084587097168,True,,1.8802919387817383,8.619708061218262,False,False,False,0.43180962285290786,,"('2S0_0_', '3S0_0_', 0)",0,11,31.327606201171875,0.13029193878173828,75.58282470703125,637.2861328125,-0.2431640625,409.5589011751643,0.035629600286483765,-3.784198760986328,expert,True,1.3669555292228301,unknown,True,[259],0.9504203200340271,0.18752260506153107,0.0,1.0,0.10446066409349442,0.4788726568222046,0.5396104454994202,0.5572611689567566,0.5005075335502625
14,2025-08-12T22:39:22.468438,1.5000000000000002,228.99114990234375,6.811877727508545,11.136777386839444,-0.06858771650417328,11.128767013549805,-0.4223213493824005,True,,1.938122272491455,8.561877727508545,False,False,False,0.4340884829386535,,"('2S0_0_', '3S0_0_', 0)",0,11,32.529754638671875,0.18812227249145508,75.58282470703125,637.2861328125,-0.2431640625,408.35593136902463,0.06865797191858292,-2.5215647220611572,expert,True,1.2522639357407774,unknown,True,[259],0.9507079720497131,0.1858948916196823,0.0,1.0,0.10767345875501633,0.47565987706184387,0.5342669486999512,0.5073135495185852,0.5006668567657471
15,2025-08-12T22:39:22.470111,1.6000000000000003,230.08175659179688,6.7714762687683105,10.021190416167451,-0.05111777922741734,10.0169038772583,-0.29307690262794495,True,,1.9785237312316895,8.52147626876831,False,False,False,0.43615589822308415,,"('2S0_0_', '3S0_0_', 0)",0,11,33.620361328125,0.22852373123168945,75.58282470703125,637.2861328125,-0.2431640625,407.26479002274306,0.06369283050298691,-2.1867828369140625,expert,True,1.1357020463258785,unknown,True,[259],0.9508129954338074,0.18513363599777222,0.0,1.0,0.10991798341274261,0.473415344953537,0.5255477428436279,0.4577319324016571,0.5005453824996948
16,2025-08-12T22:39:22.471841,1.7000000000000004,231.06130981445312,6.746402740478516,8.910442965853097,-0.03160253423348003,8.9098482131958,-0.10294982045888901,True,,2.0035972595214844,8.496402740478516,False,False,False,0.4380127943195571,,"('2S0_0_', '3S0_0_', 0)",0,11,34.59991455078125,0.2535972595214844,75.58282470703125,637.2861328125,-0.2431640625,406.2849503290613,0.06908532232046127,-1.748080849647522,expert,True,1.0196502160025889,unknown,True,[259],0.9507742524147034,0.18515712022781372,0.0,1.0,0.11131095886230469,0.4720223844051361,0.5157986283302307,0.4083653688430786,0.5006198883056641
17,2025-08-12T22:39:22.473714,1.8000000000000005,231.93020629882812,6.737236976623535,7.803574172598292,-0.012044012871828436,7.803569793701172,-0.008266926743090153,True,,2.012763023376465,8.487236976623535,False,False,False,0.4396599232889252,,"('2S0_0_', '3S0_0_', 0)",0,11,35.46881103515625,0.26276302337646484,75.58282470703125,637.2861328125,-0.2431640625,405.4160247923414,0.06108006834983826,-2.077160358428955,expert,True,0.9040125681516923,unknown,True,[259],0.9505867958068848,0.1857183575630188,0.0,1.0,0.11182016879320145,0.47151315212249756,0.5060218572616577,0.35917121171951294,0.500440239906311
18,2025-08-12T22:39:22.475784,1.9000000000000006,232.6885528564453,6.734967231750488,6.699657968572185,0.0029249498252337247,6.699651718139648,-0.009151583537459373,True,,2.0150327682495117,8.484967231750488,False,False,False,0.4410974876091105,,"('2S0_0_', '3S0_0_', 0)",0,11,36.22715759277344,0.2650327682495117,75.58282470703125,637.2861328125,-0.2431640625,404.6577517145271,0.02121601440012455,-2.1723616123199463,expert,True,0.7884950184757623,unknown,True,[259],0.9501686692237854,0.1871998906135559,0.0,1.0,0.11194626241922379,0.4713870584964752,0.498537540435791,0.3101082444190979,0.5000939965248108
19,2025-08-12T22:39:22.477515,2.0000000000000004,233.33621215820312,6.735123634338379,5.586758109456171,0.012391954868247623,5.586623191833496,0.0388263575732708,True,,2.014876365661621,8.485123634338379,False,False,False,0.442325226951356,,"('2S0_0_', '3S0_0_', 0)",0,11,36.87481689453125,0.2648763656616211,75.58282470703125,637.2861328125,-0.2431640625,404.01019157416385,-0.014796270057559013,-1.4779075384140015,expert,True,0.6727997132503652,unknown,True,[259],0.9497872591018677,0.18875829875469208,0.0,1.0,0.11193757504224777,0.4713957607746124,0.4938041865825653,0.2606460452079773,0.5001110434532166
20,2025-08-12T22:39:22.480427,2.1000000000000005,233.8726043701172,6.738427639007568,4.4726480272668265,0.018212426588670283,4.47252082824707,0.03373153880238533,True,,2.0115723609924316,8.488427639007568,False,False,False,0.44334204214980005,,"('2S0_0_', '3S0_0_', 0)",0,11,37.41120910644531,0.26157236099243164,75.58282470703125,637.2861328125,-0.2431640625,403.47393664649485,-0.01882144808769226,-1.4225133657455444,expert,True,0.5565191280367632,unknown,True,[259],0.9494202733039856,0.1902109533548355,0.0,1.0,0.11175402253866196,0.47157931327819824,0.49089428782463074,0.2111300379037857,0.49992626905441284
21,2025-08-12T22:39:22.482103,2.2000000000000006,234.29766845703125,6.741586685180664,3.36129565392456,0.020755079639423357,3.3611717224121094,0.02886391431093216,True,,2.008413314819336,8.491586685180664,False,False,False,0.444147817502773,,"('2S0_0_', '3S0_0_', 0)",0,11,37.836273193359375,0.25841331481933594,75.58282470703125,637.2861328125,-0.2431640625,403.04899100058066,-0.034826647490262985,-1.2114284038543701,expert,True,0.440189917356723,unknown,True,[259],0.9491058588027954,0.19152982532978058,0.0,1.0,0.11157851666212082,0.4717548191547394,0.48962321877479553,0.1617365926504135,0.4998643398284912
