time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/learning_rate,train/explained_variance
228,2.31254,500.0,2,512,1,,,,,,,,,,,
252,1.1668334999999999,417.0,4,1024,2,10,-0.020661642364575527,0.2,-2.8327278167009355,0.9937788844108582,0.014588359,0.190234375,-0.03401022404432297,0.0033690507596475074,0.0003,0.05404007434844971
246,4.152163,444.6666666666667,6,1536,3,20,-0.004512261183117516,0.2,-2.831722454726696,1.0009891986846924,0.00780439,0.0927734375,0.3114815056324005,0.42695181781891733,0.0003,-0.0027883052825927734
264,2.9392769999999997,392.5,7,2048,4,30,-0.030537434248253705,0.2,-2.8352190896868708,0.9954197406768799,0.0174829,0.25625,-0.018292242661118507,0.029999987955670805,0.0003,0.017154395580291748
272,5.4721530000000005,414.0,9,2560,5,40,-0.0057620377803687005,0.2,-2.827096180617809,0.9949225187301636,0.008926626,0.11953125,0.3948100209236145,0.4925221146084368,0.0003,0.010740697383880615
255,-274.6868894285714,438.57142857142856,12,3072,6,50,-0.000545019653509371,0.2,-2.8266175746917725,0.9948995113372803,0.00023187243,0.0,1598.84375,4054.517718505859,0.0003,-0.00417780876159668
269,-238.6758565,446.25,13,3584,7,60,-0.0013036259435466491,0.2,-2.825598305463791,0.9912629127502441,0.008086359,0.0365234375,0.1578669250011444,15.16072050393559,0.0003,9.5367431640625e-05
253,-210.85459944444446,417.44444444444446,16,4096,8,70,-0.010477497649844736,0.2,-2.8073444455862044,0.9789673089981079,0.010856006,0.1541015625,-0.012188255786895752,0.4040820615598932,0.0003,-0.004463315010070801
246,-187.1952262,425.7,18,4608,9,80,-0.027159478957764806,0.2,-2.7873848602175713,0.9703469276428223,0.015627366,0.2119140625,0.1966765969991684,0.6899904790800064,0.0003,-0.008919835090637207
254,-313.13482327272726,432.45454545454544,20,5120,10,90,0.0006149897351861,0.2,-2.7753436505794524,0.9697118997573853,0.0001334087,0.0,1043.09375,1720.7099956512452,0.0003,6.848573684692383e-05
252,-443.2557595384615,432.2307692307692,22,5632,11,100,-3.6390988680068406e-05,0.2,-2.775431314110756,0.9697465896606445,6.363378e-06,0.0,2622.13427734375,5311.526675415039,0.0003,-3.5643577575683594e-05
250,-450.9400837142857,437.07142857142856,24,6144,12,110,-6.575697916559875e-05,0.2,-2.775332088768482,0.9696378707885742,5.9048412e-05,0.0,564.2318115234375,1412.0804231643676,0.0003,2.4318695068359375e-05
239,-497.4548524666667,441.26666666666665,27,6656,13,120,-0.0005518869613297284,0.2,-2.7752175495028495,0.9694952964782715,0.0017303935,0.0001953125,912.08642578125,1215.2241013526916,0.0003,1.8477439880371094e-06
230,-550.3595825,444.9375,31,7168,14,130,0.00018219338380731642,0.2,-2.7748937398195266,0.9694910645484924,1.3735844e-05,0.0,1442.6632080078125,2595.0001541137694,0.0003,-9.5367431640625e-07
232,-598.841076117647,448.1764705882353,33,7680,15,140,-0.00025798383285291493,0.2,-2.7749412685632704,0.9695086479187012,6.372284e-05,0.0,1316.873046875,2987.9092597961426,0.0003,7.748603820800781e-07
234,-630.508696263158,430.89473684210526,34,8192,16,150,-0.0001559253185405396,0.2,-2.7750690624117853,0.9696168899536133,4.6562636e-05,0.0,1620.575927734375,3016.887070465088,0.0003,-3.814697265625e-06
